Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 17:00:00,1,1,17,8.6,7.56,0.006050820706737453,102.16,0.87,6.59,0.0,0,0,5.1
2002/01/01 @ 18:00:00,1,1,18,8.7,7.74,0.006163068770784602,102.13,0.88,6.85,0.0,0,0,5.6
2002/01/01 @ 19:00:00,1,1,19,8.7,7.82,0.006233805608434563,102.11,0.89,7.02,0.0,0,0,5.6
2002/01/01 @ 20:00:00,1,1,20,8.6,7.8,0.006261570316972001,102.11,0.9,7.08,0.0,0,0,5.3
2002/01/01 @ 21:00:00,1,1,21,8.7,7.9,0.006304558380488252,102.01,0.9,7.18,0.0,0,0,5.2
2002/01/01 @ 22:00:00,1,1,22,9.0,8.27,0.006507357954419739,102.09,0.91,7.64,0.0,0,0,5.1
2002/01/01 @ 23:00:00,1,1,23,9.2,8.47,0.006596730102561989,102.11,0.91,7.84,0.0,0,0,5.0
2002/01/02 @ 00:00:00,1,2,0,9.5,8.59,0.0065833041175648995,102.18,0.89,7.81,0.0,0,0,4.8
2002/01/02 @ 01:00:00,1,2,1,9.8,8.54,0.006413728070907901,102.23,0.85,7.43,0.0,0,0,5.4
2002/01/02 @ 02:00:00,1,2,2,9.6,8.27,0.006252085363975963,102.28,0.84,7.06,0.0,0,0,5.7
2002/01/02 @ 03:00:00,1,2,3,9.0,7.78,0.006074111084188415,102.3,0.85,6.64,0.0,0,0,5.3
2002/01/02 @ 04:00:00,1,2,4,8.4,7.29,0.005899269236860659,102.41,0.86,6.22,0.0,0,0,5.0
2002/01/02 @ 05:00:00,1,2,5,8.0,6.98,0.005806920857213419,102.49,0.87,5.99,0.0,0,0,4.4
2002/01/02 @ 06:00:00,1,2,6,8.3,7.43,0.006065350165005152,102.7,0.89,6.62,0.0,0,0,3.9
2002/01/02 @ 07:00:00,1,2,7,8.4,7.61,0.006176378696839511,102.58,0.9,6.88,0.0,0,0,3.8
2002/01/02 @ 08:00:00,1,2,8,8.6,7.96,0.006402148658743757,102.46,0.92,7.4,0.0,0,0,3.7
2002/01/02 @ 09:00:00,1,2,9,9.0,8.44,0.00665190644429182,102.64,0.93,7.96,13.23,3,13,3.7
2002/01/02 @ 10:00:00,1,2,10,8.9,8.26,0.006534847899691059,102.66,0.92,7.7,48.61,9,47,4.0
2002/01/02 @ 11:00:00,1,2,11,9.1,8.37,0.006551907897366109,102.55,0.91,7.74,111.61,43,101,4.1
2002/01/02 @ 12:00:00,1,2,12,9.1,8.37,0.006551907897366109,102.54,0.91,7.74,82.33,12,79,3.9
2002/01/02 @ 13:00:00,1,2,13,9.0,8.27,0.006507357954419739,102.59,0.91,7.64,56.34,5,55,3.7
2002/01/02 @ 14:00:00,1,2,14,9.5,8.84,0.006807642202574334,102.62,0.92,8.3,46.11,5,45,3.0
2002/01/02 @ 15:00:00,1,2,15,9.1,8.62,0.00677025612160192,102.63,0.94,8.22,37.24,9,36,3.0
2002/01/02 @ 16:00:00,1,2,16,9.0,8.52,0.006724205627477577,102.62,0.94,8.12,5.17,7,5,3.0
2002/01/02 @ 17:00:00,1,2,17,8.7,8.22,0.006587728920471812,102.55,0.94,7.82,0.0,0,0,3.1
2002/01/02 @ 18:00:00,1,2,18,8.7,8.22,0.006587728920471812,102.73,0.94,7.82,0.0,0,0,3.0
2002/01/02 @ 19:00:00,1,2,19,8.5,7.95,0.006428281586622943,102.86,0.93,7.46,0.0,0,0,3.0
2002/01/02 @ 20:00:00,1,2,20,7.9,7.28,0.0061018318453555384,102.87,0.92,6.71,0.0,0,0,3.3
2002/01/02 @ 21:00:00,1,2,21,7.6,6.83,0.005845867357869549,102.86,0.9,6.09,0.0,0,0,3.6
