Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/10 @ 20:00:00;1;10;20;16.7;16.28;92.6;96;16.08;0;0;0;3.2
2002/01/10 @ 21:00:00;1;10;21;16.8;16.59;92.6;98;16.51;0;0;0;4.3
2002/01/10 @ 22:00:00;1;10;22;17.3;16.98;92.6;97;16.84;64;0;64;4.8
2002/01/10 @ 23:00:00;1;10;23;19.6;19.03;92.6;95;18.8;147.06;89;85;5.2
2002/01/11 @ 00:00:00;1;11;0;21.5;20.29;92.6;90;19.81;268.48;84;205;6
2002/01/11 @ 01:00:00;1;11;1;23.3;21.38;92.5;85;20.65;399.15;134;298;6.1
2002/01/11 @ 02:00:00;1;11;2;24.7;22.17;92.5;81;21.23;492.62;165;378;6.8
2002/01/11 @ 03:00:00;1;11;3;26.3;22.19;92.5;71;20.63;538.64;172;439;7.7
2002/01/11 @ 04:00:00;1;11;4;26.4;22.28;92.5;71;20.73;549.49;186;472;9
2002/01/11 @ 05:00:00;1;11;5;24;21.78;92.5;83;20.95;499.25;116;474;10.9
2002/01/11 @ 06:00:00;1;11;6;21.8;20.7;92.5;91;20.28;410;53;410;11.6
2002/01/11 @ 07:00:00;1;11;7;20.2;19.62;92.5;95;19.39;285;16;285;12
2002/01/11 @ 08:00:00;1;11;8;18.9;18.68;92.5;98;18.6;143;3;143;13
2002/01/11 @ 09:00:00;1;11;9;19;18.55;92.5;96;18.37;39;0;39;10.9
2002/01/11 @ 10:00:00;1;11;10;18.6;18.38;92.5;98;18.3;0;0;0;9
2002/01/11 @ 11:00:00;1;11;11;18.7;18.48;92.5;98;18.4;0;0;0;7.2
2002/01/11 @ 12:00:00;1;11;12;19.1;18.76;92.5;97;18.63;0;0;0;5.6
2002/01/11 @ 13:00:00;1;11;13;19.2;18.75;92.5;96;18.57;0;0;0;4.1
2002/01/11 @ 14:00:00;1;11;14;17.8;17.47;92.5;97;17.34;0;0;0;2.4
2002/01/11 @ 15:00:00;1;11;15;17.3;16.98;92.5;97;16.84;0;0;0;3.8
2002/01/11 @ 16:00:00;1;11;16;16.8;16.59;92.6;98;16.51;0;0;0;5.6
2002/01/11 @ 17:00:00;1;11;17;16.8;16.59;92.5;98;16.51;0;0;0;6.6
2002/01/11 @ 18:00:00;1;11;18;16.8;16.69;92.6;99;16.67;0;0;0;7.2
2002/01/11 @ 19:00:00;1;11;19;16.9;16.79;92.6;99;16.77;0;0;0;7.4
2002/01/11 @ 20:00:00;1;11;20;16.7;16.59;92.6;99;16.57;0;0;0;7.7
2002/01/11 @ 21:00:00;1;11;21;16.9;16.79;92.6;99;16.77;0;0;0;7.1
2002/01/11 @ 22:00:00;1;11;22;17.2;16.99;92.5;98;16.9;64;0;64;6.6
2002/01/11 @ 23:00:00;1;11;23;19.4;18.95;92.5;96;18.76;145.43;88;84;5.3
2002/01/12 @ 00:00:00;1;12;0;21.8;20.08;92.5;86;19.37;262.29;77;204;5.9
2002/01/12 @ 01:00:00;1;12;1;25;21.3;92.5;73;19.84;392.81;124;299;5.9
2002/01/12 @ 02:00:00;1;12;2;27.9;22.84;92.5;66;20.97;491.57;163;378;6.8
2002/01/12 @ 03:00:00;1;12;3;29.1;22.88;92.5;60;20.56;550.91;201;434;8.3
2002/01/12 @ 04:00:00;1;12;4;28.8;22.79;92.4;61;20.54;571.59;314;440;10.1
2002/01/12 @ 05:00:00;1;12;5;28.1;22.85;92.4;65;20.91;471.77;535;354;12.5
2002/01/12 @ 06:00:00;1;12;6;27.3;22.78;92.4;69;21.12;367;448;367;11.4
2002/01/12 @ 07:00:00;1;12;7;26.9;22.42;92.4;69;20.74;366;315;366;10.8
2002/01/12 @ 08:00:00;1;12;8;25.9;22.13;92.4;73;20.7;310;244;310;10.4
2002/01/12 @ 09:00:00;1;12;9;24.7;21.6;92.4;77;20.41;242;141;242;8.9
2002/01/12 @ 10:00:00;1;12;10;22.5;20.36;92.4;83;19.48;150;52;150;7.9
2002/01/12 @ 11:00:00;1;12;11;21.3;19.97;92.4;89;19.43;0;0;0;6.6
