Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/11 @ 15:00:00;1;11;15;24.6;13.58;101.14;27;4.39;265.45;317;181;2.1
2002/01/11 @ 16:00:00;1;11;16;23.3;12.5;101.08;26;2.74;60.56;6;60;2.2
2002/01/11 @ 17:00:00;1;11;17;23;11.39;101.08;21;-0.42;0;0;0;2.3
2002/01/11 @ 18:00:00;1;11;18;22.4;11.18;101.05;22;-0.3;0;0;0;2.4
2002/01/11 @ 19:00:00;1;11;19;22;10.91;101.07;22;-0.59;0;0;0;2.4
2002/01/11 @ 20:00:00;1;11;20;21.7;10.71;101.08;22;-0.81;0;0;0;2.4
2002/01/11 @ 21:00:00;1;11;21;21.4;10.51;101.05;22;-1.03;0;0;0;2.5
2002/01/11 @ 22:00:00;1;11;22;20.6;9.81;101.01;21;-2.18;0;0;0;2.4
2002/01/11 @ 23:00:00;1;11;23;20;9.42;101.01;21;-2.62;0;0;0;2.5
2002/01/12 @ 00:00:00;1;12;0;20;9.42;100.96;21;-2.62;0;0;0;2.3
2002/01/12 @ 01:00:00;1;12;1;19.7;9.06;100.94;20;-3.42;0;0;0;2.2
2002/01/12 @ 02:00:00;1;12;2;19.1;8.66;100.9;20;-3.86;0;0;0;2.1
2002/01/12 @ 03:00:00;1;12;3;18.9;8.53;100.86;20;-4.01;0;0;0;2
2002/01/12 @ 04:00:00;1;12;4;18.2;8.22;100.92;21;-3.95;0;0;0;1.9
2002/01/12 @ 05:00:00;1;12;5;18;8.23;100.94;22;-3.55;0;0;0;1.8
2002/01/12 @ 06:00:00;1;12;6;18.5;9.02;100.91;25;-1.66;0;0;0;1.8
2002/01/12 @ 07:00:00;1;12;7;20.6;10.47;100.96;25;-0.08;0;0;0;2
2002/01/12 @ 08:00:00;1;12;8;21.5;10.92;100.98;24;0.07;173.46;243;111;2
