Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/10/02 @ 05:00:00;10;2;5;6.8;4.19;102.29;66;0.88;0;0;0;3.1
2002/10/02 @ 06:00:00;10;2;6;10.4;6.56;102.3;57;2.25;131;0;131;3.6
2002/10/02 @ 07:00:00;10;2;7;14.3;9.34;102.05;52;4.6;260.55;131;235;5.5
2002/10/02 @ 08:00:00;10;2;8;18.3;12;101.65;47;6.83;433.72;437;284;6.6
2002/10/02 @ 09:00:00;10;2;9;20.3;14.03;101.41;50;9.58;563.06;602;284;6.6
2002/10/02 @ 10:00:00;10;2;10;22.9;16.92;101.18;55;13.42;653.03;697;270;7.6
2002/10/02 @ 11:00:00;10;2;11;23.8;19.01;101;64;16.61;702.05;750;256;7.9
2002/10/02 @ 12:00:00;10;2;12;22.8;18.13;100.87;64;15.67;634.92;775;173;7
2002/10/02 @ 13:00:00;10;2;13;24.6;18.96;100.91;59;16.09;558.83;766;135;6.6
2002/10/02 @ 14:00:00;10;2;14;24.2;18.62;100.91;59;15.71;476.77;728;135;6
2002/10/02 @ 15:00:00;10;2;15;24.7;17.64;101.25;50;13.62;339.41;478;172;6
2002/10/02 @ 16:00:00;10;2;16;24.2;16.91;101.2;48;12.54;196.35;149;166;6
2002/10/02 @ 17:00:00;10;2;17;23.2;15.78;101.19;46;10.98;86.79;45;85;7
2002/10/02 @ 18:00:00;10;2;18;22.7;15.39;101.32;46;10.53;68;151;68;7
2002/10/02 @ 19:00:00;10;2;19;22.2;14.99;101.37;46;10.07;28;0;28;7.6
2002/10/02 @ 20:00:00;10;2;20;21.1;13.96;101.52;45;8.75;0;0;0;7.6
2002/10/02 @ 21:00:00;10;2;21;20.1;13.31;101.6;46;8.16;0;0;0;7.6
2002/10/02 @ 22:00:00;10;2;22;19.9;13.15;101.65;46;7.98;0;0;0;7.6
2002/10/02 @ 23:00:00;10;2;23;18.4;12.08;101.69;47;6.92;0;0;0;7.6
2002/10/03 @ 00:00:00;10;3;0;17.7;11.38;101.68;46;5.97;0;0;0;7.6
2002/10/03 @ 01:00:00;10;3;1;16.5;10.42;101.81;46;4.87;0;0;0;7.3
2002/10/03 @ 02:00:00;10;3;2;15.8;9.98;101.8;47;4.54;0;0;0;7.6
2002/10/03 @ 03:00:00;10;3;3;15.1;9.3;101.86;46;3.58;0;0;0;7
2002/10/03 @ 04:00:00;10;3;4;14.3;8.77;101.91;47;3.15;0;0;0;7
2002/10/03 @ 05:00:00;10;3;5;14;8.41;101.98;46;2.57;0;0;0;6.7
2002/10/03 @ 06:00:00;10;3;6;14.9;9.37;101.83;48;4.01;132;0;132;7.3
2002/10/03 @ 07:00:00;10;3;7;16.3;10.51;101.75;48;5.3;258.26;122;235;7
