Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/10 @ 16:00:00;1;10;16;30.3;25.61;101.17;69;23.98;334.97;44;309;5.2
2002/01/10 @ 17:00:00;1;10;17;29.3;25.5;101.16;74;24.18;159.49;9;156;4.4
2002/01/10 @ 18:00:00;1;10;18;28.6;25.47;101.2;78;24.39;54.32;2;54;3.7
2002/01/10 @ 19:00:00;1;10;19;28;25.5;101.25;82;24.64;15;1;15;3.2
2002/01/10 @ 20:00:00;1;10;20;27.6;25.69;101.29;86;25.04;0;0;0;2.5
2002/01/10 @ 21:00:00;1;10;21;27.4;25.64;101.3;87;25.04;0;0;0;2.4
2002/01/10 @ 22:00:00;1;10;22;27.3;25.82;101.31;89;25.32;0;0;0;2.5
2002/01/10 @ 23:00:00;1;10;23;27.3;25.96;101.32;90;25.51;0;0;0;2.5
2002/01/11 @ 00:00:00;1;11;0;27.2;26;101.35;91;25.6;0;0;0;2.4
2002/01/11 @ 01:00:00;1;11;1;27.1;25.9;101.37;91;25.5;0;0;0;2.2
2002/01/11 @ 02:00:00;1;11;2;26.8;25.61;101.39;91;25.2;0;0;0;2.2
2002/01/11 @ 03:00:00;1;11;3;26.5;25.32;101.4;91;24.91;0;0;0;1.9
2002/01/11 @ 04:00:00;1;11;4;26.4;25.22;101.4;91;24.81;0;0;0;1.8
2002/01/11 @ 05:00:00;1;11;5;26.4;25.22;101.41;91;24.81;0;0;0;1.5
2002/01/11 @ 06:00:00;1;11;6;26.8;24.92;101.42;86;24.26;0;0;0;1.7
2002/01/11 @ 07:00:00;1;11;7;27.8;24.87;101.43;79;23.82;0;0;0;2.2
2002/01/11 @ 08:00:00;1;11;8;28.8;24.89;101.43;73;23.48;452.91;196;394;2.5
2002/01/11 @ 09:00:00;1;11;9;29.6;25.14;101.41;70;23.55;791.99;574;496;2.6
2002/01/11 @ 10:00:00;1;11;10;30.2;25.36;101.38;68;23.64;842.67;752;320;2.5
2002/01/11 @ 11:00:00;1;11;11;30.8;25.21;101.36;64;23.2;786.16;731;182;2.5
2002/01/11 @ 12:00:00;1;11;12;31.5;25.66;101.32;63;23.6;667.84;335;366;3.4
2002/01/11 @ 13:00:00;1;11;13;31.7;25.65;101.28;62;23.53;566.47;145;434;3.9
2002/01/11 @ 14:00:00;1;11;14;31.3;25.12;101.25;61;22.88;447.07;58;397;4.8
2002/01/11 @ 15:00:00;1;11;15;29.9;25.41;101.24;70;23.83;296.57;18;283;4.3
2002/01/11 @ 16:00:00;1;11;16;28.1;25.3;101.24;80;24.32;122.78;3;121;3.7
2002/01/11 @ 17:00:00;1;11;17;26.7;25.24;101.24;89;24.73;7;0;7;3.4
2002/01/11 @ 18:00:00;1;11;18;26;25.09;101.27;93;24.78;0;0;0;2.5
2002/01/11 @ 19:00:00;1;11;19;25.9;25.39;101.3;96;25.21;0;0;0;1.8
2002/01/11 @ 20:00:00;1;11;20;26.1;25.84;101.33;98;25.76;0;0;0;1.3
2002/01/11 @ 21:00:00;1;11;21;26.2;25.94;101.36;98;25.85;0;0;0;1.1
2002/01/11 @ 22:00:00;1;11;22;26.2;25.94;101.38;98;25.85;0;0;0;1
2002/01/11 @ 23:00:00;1;11;23;26.3;26.04;101.41;98;25.95;0;0;0;1
2002/01/12 @ 00:00:00;1;12;0;26.3;26.04;101.38;98;25.95;0;0;0;1.1
2002/01/12 @ 01:00:00;1;12;1;26.6;26.34;101.36;98;26.25;0;0;0;1.3
2002/01/12 @ 02:00:00;1;12;2;26.9;26.51;101.33;97;26.38;0;0;0;1.5
2002/01/12 @ 03:00:00;1;12;3;27.2;26.67;101.32;96;26.5;0;0;0;1.7
2002/01/12 @ 04:00:00;1;12;4;27.4;26.87;101.31;96;26.7;0;0;0;2.1
2002/01/12 @ 05:00:00;1;12;5;27.6;26.93;101.3;95;26.72;0;0;0;2.5
2002/01/12 @ 06:00:00;1;12;6;27.8;26.86;101.33;93;26.56;0;0;0;2.3
2002/01/12 @ 07:00:00;1;12;7;28;26.92;101.35;92;26.57;0;0;0;2.3
2002/01/12 @ 08:00:00;1;12;8;28.4;27.03;101.37;90;26.59;178.8;193;121;2.2
