Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 23:00:00;1;1;23;4.5;4.5;98.97;100;4.51;0;0;0;3.7
2002/01/02 @ 00:00:00;1;2;0;4.4;4.33;99.14;99;4.27;0;0;0;3.4
2002/01/02 @ 01:00:00;1;2;1;4.7;4.49;99.18;97;4.28;0;0;0;3
2002/01/02 @ 02:00:00;1;2;2;4.6;4.46;99.1;98;4.32;0;0;0;2.4
2002/01/02 @ 03:00:00;1;2;3;4.3;4.3;99.1;100;4.31;0;0;0;2
2002/01/02 @ 04:00:00;1;2;4;4.2;4.2;99.04;100;4.21;0;0;0;1.8
2002/01/02 @ 05:00:00;1;2;5;4.6;4.6;98.8;100;4.61;0;0;0;1.5
2002/01/02 @ 06:00:00;1;2;6;4.2;4.2;98.97;100;4.21;0;0;0;1.7
2002/01/02 @ 07:00:00;1;2;7;4.6;4.6;98.87;100;4.61;0;0;0;0.9
2002/01/02 @ 08:00:00;1;2;8;4.7;4.7;98.8;100;4.72;4;0;4;1
2002/01/02 @ 09:00:00;1;2;9;3.9;3.9;99.14;100;3.91;11.2;3;11;1.7
2002/01/02 @ 10:00:00;1;2;10;3.9;3.9;99.11;100;3.91;15.14;1;15;2.1
2002/01/02 @ 11:00:00;1;2;11;4.2;4.2;99.29;100;4.21;18.18;1;18;3
2002/01/02 @ 12:00:00;1;2;12;4.1;4.1;99.31;100;4.11;19.19;1;19;2.9
2002/01/02 @ 13:00:00;1;2;13;4.3;4.3;99.29;100;4.31;17.17;1;17;3.3
2002/01/02 @ 14:00:00;1;2;14;4.1;4.1;99.41;100;4.11;11.11;1;11;3.2
2002/01/02 @ 15:00:00;1;2;15;4.3;4.16;99.41;98;4.02;0;0;0;3.2
2002/01/02 @ 16:00:00;1;2;16;4.1;3.97;99.48;98;3.82;0;0;0;2.9
2002/01/02 @ 17:00:00;1;2;17;4.2;4.13;99.55;99;4.07;0;0;0;3
2002/01/02 @ 18:00:00;1;2;18;4.3;4.16;99.73;98;4.02;0;0;0;3.4
2002/01/02 @ 19:00:00;1;2;19;4.8;4.38;100.01;94;3.93;0;0;0;3.7
2002/01/02 @ 20:00:00;1;2;20;5;4.44;100.04;92;3.82;0;0;0;4.3
2002/01/02 @ 21:00:00;1;2;21;4.8;4.31;100.1;93;3.77;0;0;0;4.4
2002/01/02 @ 22:00:00;1;2;22;4.6;4.19;100.16;94;3.73;0;0;0;4.4
2002/01/02 @ 23:00:00;1;2;23;4.5;3.95;100.24;92;3.32;0;0;0;4.6
2002/01/03 @ 00:00:00;1;3;0;4.3;3.69;100.31;91;2.97;0;0;0;5.3
2002/01/03 @ 01:00:00;1;3;1;4.2;3.73;100.31;93;3.17;0;0;0;5.6
2002/01/03 @ 02:00:00;1;3;2;4.1;3.7;100.31;94;3.23;0;0;0;5.8
2002/01/03 @ 03:00:00;1;3;3;4.1;3.7;100.35;94;3.23;0;0;0;5.8
2002/01/03 @ 04:00:00;1;3;4;3.7;3.24;100.44;93;2.67;0;0;0;5.8
2002/01/03 @ 05:00:00;1;3;5;3.2;2.75;100.58;93;2.17;0;0;0;5.5
2002/01/03 @ 06:00:00;1;3;6;2.9;2.39;100.68;92;1.72;0;0;0;6.4
2002/01/03 @ 07:00:00;1;3;7;1.8;1.19;100.85;90;0.31;0;0;0;7.9
2002/01/03 @ 08:00:00;1;3;8;1.9;1.47;100.97;93;0.87;4;0;4;8.9
2002/01/03 @ 09:00:00;1;3;9;1.4;0.86;101.12;91;0.07;17.53;8;17;9.1
2002/01/03 @ 10:00:00;1;3;10;0.8;0.16;101.39;89;-0.71;36.13;8;35;9.9
2002/01/03 @ 11:00:00;1;3;11;0.8;-0.24;101.8;82;-1.69;57.4;13;55;10.3
2002/01/03 @ 12:00:00;1;3;12;1.6;-0.41;101.75;67;-3.41;76.22;27;71;10.3
2002/01/03 @ 13:00:00;1;3;13;2.8;0.31;101.24;62;-3.32;76.36;44;69;10.7
2002/01/03 @ 14:00:00;1;3;14;3;0.36;101.27;60;-3.54;55.32;68;48;9.9
2002/01/03 @ 15:00:00;1;3;15;1.7;-0.45;101.36;65;-3.68;0;0;0;7.9
2002/01/03 @ 16:00:00;1;3;16;0.7;-1.13;101.36;68;-4;0;0;0;6.3
2002/01/03 @ 17:00:00;1;3;17;0.3;-1.47;101.82;68;-4.34;0;0;0;5.6
2002/01/03 @ 18:00:00;1;3;18;-0.1;-1.89;101.94;69;-4.52;0;0;0;5.1
2002/01/03 @ 19:00:00;1;3;19;-0.4;-2.11;102.03;70;-4.65;0;0;0;4.9
2002/01/03 @ 20:00:00;1;3;20;-0.5;-2.14;102.06;71;-4.58;0;0;0;4.6
2002/01/03 @ 21:00:00;1;3;21;0.3;-1.59;101.89;66;-4.69;0;0;0;3.4
2002/01/03 @ 22:00:00;1;3;22;0.5;-1.58;102.11;63;-5.07;0;0;0;2.3
2002/01/03 @ 23:00:00;1;3;23;-0.1;-2.13;102.21;65;-5.22;0;0;0;1.8
2002/01/04 @ 00:00:00;1;4;0;-0.5;-2.26;102.12;69;-4.91;0;0;0;2
2002/01/04 @ 01:00:00;1;4;1;-0.6;-2.29;102.28;70;-4.84;0;0;0;1.4
